name,radar_an,buoy_ang,Unnamed: 3,radar_per,buoy_per,Unnamed: 6,radar_m0,buoy_swh
4338,303.0,313.0,,,,,,
4339,300.0,318.0,,,,,,
4340,304.0,317.0,,,,,,
4341,280.0,267.0,,,,,,
4342,266.0,311.0,,,,,,
4343,317.0,314.0,,,,,,
4344,318.0,330.0,,,,,,
4345,326.0,346.0,,,,,,
4346,300.0,357.0,,,,,,
4347,48.0,8.0,,,,,,
4348,56.0,0.0,,,,,,
4349,50.0,35.0,,,,,,
4350,90.0,38.0,,,,,,
4351,61.0,50.0,,,,,,
4352,70.0,52.0,,,,,,
4353,73.0,56.0,,,,,,
4354,49.0,39.0,,,,,,
4355,90.0,38.0,,,,,,
4356,99.0,32.0,2!!,,,,,
4357,61.0,198.0,3!!!,,,,,
4358,94.0,352.0,3!!! glad,,,,,
4361,93.0,342.0,2!! glad,,,,,
4364,99.0,347.0,2!!,,,,,
4366,95.0,140.0,3!!! glad,,,,,
4368,90.0,207.0,2!! rain,,,,,
4371,291.0,295.0,2!!,,,,,
4374,268.0,274.0,2!!,,,,,
4378,108.0,146.0,2!!,,,,,
4392,114.0,151.0,2!!,,,,,
4411,90.0,122.0,2!!,,,,,
,,,,,,,,
до std,,,,13.4217391304348,12.8,,0.0824918013680741,4.1507242160381
,,,,13.72,12.8,,0.0469423076849298,3.63052986562037
,,,,12.8625,12.8,,0.0039746234247461,2.87009168199104
,,,,7.01590909090909,7.31428571428571,,0.0114160743458093,2.18043913574008
,,,,7.52926829268293,11.3777777777778,,0.0307172861768372,1.93040361848672
,,,,6.71086956521739,6.4,,0.0066766332461227,2.25879642746946
,,,,11.025,8.53333333333333,,0.017261160561747,2.57005876758924
,,,,11.6490566037736,9.30909090909091,,0.0012186785391222,2.35255593763551
,,,,12.6,10.24,,0.0015470285226836,2.42171065863158
,,,,8.232,9.30909090909091,,0.0020696657898684,2.04720571098731
,,,,6.36494845360825,10.24,,0.0037749169953139,1.7265370302593
,,,,10.6448275862069,7.31428571428571,,0.0020534196547295,1.42702621288917
,,,,6.93707865168539,7.31428571428571,,0.0036906605982978,1.4971013571881
,,,,8.232,7.31428571428571,,0.015110164920154,1.50368763422214
,,,,6.56808510638298,7.31428571428571,,0.0067097753353075,1.56038745727169
,,,,6.3,7.87692307692308,,0.0092035885315397,1.67223817193318
,,,,7.26352941176471,8.53333333333333,,0.0067637715184997,1.65573880307404
,,,,7.62222222222222,7.87692307692308,,0.0029725351047655,1.4460523420614
,,,,8.12368421052632,7.87692307692308,,0.0209999632719834,0.996653978390077
,,,,8.01818181818182,14.6285714285714,,0.0031815007384021,1.17788305208342
,,,,14.3581395348837,14.6285714285714,,0.0018004106698484,1.312886789587
,,,,8.232,12.8,,0.0030778258973991,1.42777542781717
,,,,8.34324324324324,12.8,,0.0113644714231232,1.89817246074914
,,,,20.58,7.87692307692308,,0.0028947141737284,1.92220757008217
,,,,15.0585365853659,14.6285714285714,,0.0017069612316645,2.30824943154457
,,,,12.6,12.8,,0.0205847144613948,2.3228563146095
,,,,8.69577464788732,12.8,,0.0395573960588947,2.10092546908206
,,,,6.86,7.87692307692308,,0.0015258345951464,2.09223593623783
,,,,7.26352941176471,7.31428571428571,,0.0063186550143497,1.26701638277187
,,,,12.1058823529412,7.87692307692308,,0.0025723881896452,1.98295560736189
