name,radar_an,radar_an2,radar_an3,buoy_ang,comm,nobrak,radar_per,buoy_per,radar_m0,buoy_swh,wdir,speed,hdg,dir_std,wind_speed,lenght,Unnamed: 17,угол,4338,4339,max_std,mean_std
4338,307,307,111.21086223196,313,,1.0,13.3333333333333,12.8,2.270610259603,4.1507242160381,311.911926269531,0.710125,257.5,326,8.85676670074463,58.1818181818182,,Std + 0,2.270610259603,2.63644558565348,60.45866356445534,19.66841591558965
4339,313,313,77.4857689761585,318,,1.0,12.5490196078431,12.8,2.63644558565348,3.63052986562037,106.922904968262,0.923677083333333,292.8,124,4.22174501419067,58.1818181818182,,Std + 90,0.612782154698795,0.567088483734385,40.7091436289195,10.2171405288927
4340,297,297,0.0,317,,1.0,13.3333333333333,12.8,3.26336588221003,2.87009168199104,183.910079956055,0.820760416666667,181.0,169,8.51432609558106,25.374449339207,,Std + 180,2.60815924247608,1.89942821850644,43.9943178149179,19.5123366577708
4341,352,352,84.662589651408,267,,1.0,7.11111111111111,7.31428571428571,1.16619381994148,2.18043913574008,267.985778808594,0.828479166666667,214.8,259,9.14712810516357,90.0,,Std + 270,0.425617800661812,0.517300504241129,42.3356657411927,21.6642644507751
4342,297,297,100.296723075723,311,,1.0,11.0344827586207,11.3777777777778,1.22542266678716,1.93040361848672,323.208251953125,0.668958333333333,279.9,315,10.8219404220581,29.5384615384615,,,,,38.6445642199521,20.4056793326372
4343,318,318,30.2630625006788,314,,1.0,8.0,6.4,0.870184693342315,2.25879642746946,12.8963088989258,1.06776041666667,207.5,276,11.2284860610962,180.0,,,,,42.2564713978818,22.1663687095006
4344,323,323,63.3226944067149,330,,1.0,9.84615384615385,8.53333333333333,0.696809444613019,2.57005876758924,37.1573066711426,0.988,283.0,112,9.43553829193115,155.675675675676,,,,,43.3073590022527,21.3190727491739
4345,281,281,0.0,346,,1.0,9.84615384615385,9.30909090909091,1.03569892308444,2.35255593763551,27.5000495910645,1.1578125,202.7,0,10.9727020263672,34.9090909090909,,,,,43.0620464417334,22.7266485937556
4346,288,288,42.690793240852,357,,1.0,10.0,10.24,2.27677980374842,2.42171065863158,36.9758644104004,0.751291666666667,299.7,17,8.75932025909424,1152.0,,,,,48.6434733546033,22.9107009883231
4347,250,250,90.3806192253057,8,,1.0,10.6666666666667,9.30909090909091,1.02892071268607,2.04720571098731,67.9718780517578,0.77959375,323.1,28,7.17516613006592,43.6363636363636,,,,,40.6476859734967,21.2900528954948
4348,270,270,21.0603031308322,0,,1.0,12.8,10.24,0.448917093105403,1.7265370302593,63.2128829956055,0.5094375,289.55,343,6.80078029632568,85.9701492537313,,,,,53.1786126534907,20.2095586276417
4349,232,232,21.6325658830563,35,,1.0,8.88888888888889,7.31428571428571,0.447978177747047,1.42702621288917,78.3829879760742,1.0343125,220.8,62,7.2918119430542,28.8,,,,,40.1325440727348,17.0644343452143
4350,212,212,0.0,38,,1.0,8.0,7.31428571428571,0.332432212940879,1.4971013571881,73.1477584838867,0.982854166666667,270.5,39,7.37329769134522,180.0,,,,,36.8925805549029,18.8880154234498
4351,243,243,24.4620101040838,50,,1.0,12.8,7.31428571428571,0.315901106922883,1.50368763422214,61.9499435424805,1.07290625,212.3,34,6.32969999313355,85.9701492537313,,,,,38.9301758761761,19.2724489737529
4352,247,247,21.2268525957342,52,,1.0,9.27536231884058,7.31428571428571,0.463493122344998,1.56038745727169,58.7363815307617,1.17582291666667,232.35,45,7.9466290473938,inf,,,,,39.5971412320385,20.2080651046243
4353,206,206,34.3456931037742,56,,1.0,8.42105263157895,7.87692307692308,0.344041640485596,1.67223817193318,42.9540405273438,1.04975,220.05,68,6.07089614868164,54.8571428571429,,,,,39.1630705352632,19.4619554975973
4354,225,225,26.3587678618464,39,,1.0,7.80487804878049,8.53333333333333,0.390037195691934,1.65573880307404,55.7869529724121,0.550604166666667,289.7,68,5.02431964874268,90.0,,,,,39.2826297490379,19.3608014961568
4355,215,215,0.0,38,,,inf,7.87692307692308,0.4135286127131,1.4460523420614,66.7924194335938,0.777020833333333,256.05,73,2.50304555892944,inf,,,,,32.4249132612564,9.30730547449004
4356,200,200,73.4075881643583,32,,1.0,7.27272727272727,7.87692307692308,0.2478572845938,0.996653978390077,74.4972763061523,0.494,21.1,68,4.28145122528076,180.0,,,,,28.6802823164278,6.59485651979226
4357,232,232,25.1113672639244,198,3,1.0,12.8,14.6285714285714,0.248640136459831,1.17788305208342,59.7338562011719,0.681822916666667,284.5,28,6.98539161682129,inf,,,,,38.5867022917222,18.4218554374819
4358,186,186,0.0,352,2 glad,,18.2857142857143,14.6285714285714,0.179220525656447,1.312886789587,268.978942871094,0.8181875,321.2,231,1.37255787849426,180.0,,,,,18.5967697127754,4.3352300123794
4361,186,186,0.0,342,2 glad,,12.5490196078431,12.8,0.321513403014676,1.42777542781717,166.020294189453,0.344770833333333,182.7,146,1.76462733745575,inf,,,,,24.5623409664063,3.79821730747647
4364,182,182,0.0,347,2 glad,1.0,7.44186046511628,12.8,0.334940015402283,1.89817246074914,108.417984008789,0.303604166666667,184.0,62,3.75583958625794,82.2857142857143,,,,,34.7814044246347,10.2857794692132
4366,107,107,0.0,140,3,,7.44186046511628,7.87692307692308,0.295551777266689,1.92220757008217,100.741104125977,0.244427083333333,177.7,107,1.97983837127686,inf,,,,,30.7100858839568,6.86381425845389
4368,223,223,147.930437674481,207,2 rain,,14.8837209302326,14.6285714285714,0.357557830889956,2.30824943154457,101.039962768555,0.614927083333333,169.3,129,3.7684473991394,90.0,,,,,24.1860464679534,9.82246622153225
