name,radar_an,radar_an2,radar_m0,radar_per,nobrak,vis_an,vis_an2,vis_swh1,vis_swh2,vis_per1,vis_per2,vis_len1,vis_len2,radar_an3,lat_radar,lon_radar,speed,sat_swh,hdg,dir_std,wind_speed
22-12-04_06-55,137,137,0.180665534077373,8.10126582278481,1,150,,2.4,,8,,43,,97.1728862320738,35.4626137069337,16.13815058183,4.65697916666667,2.858,91,302,6.20917797088623
22-12-04_09-56,114,114,0.293085672058243,8.76712328767123,1,150,,2,,8.4,,42,,95.9413562051011,35.4647592404015,16.7122227563908,4.93742708333333,,89.8,314,5.94140243530273
22-12-04_13-55,175,175,0.211197739636293,7.90123456790123,1,155,,1.8,,8,,33,,81.3890589392802,35.4653403044237,17.5128997548738,5.16127083333333,1.921,89.8,320,0
22-12-05_05-58,160,160,0.94614290199432,inf,1,80,,1.2,,5.4,,27,,49.8840299315144,35.4643361425468,20.7812543899788,5.16127083333333,,90.6,160,8.8026065826416
22-12-05_09-51,15,15,0.526964040001983,128,1,230,190,1,0.8,8,4.5,40,12,30.9542905085471,35.4643189797659,21.5370194059762,4.76504166666667,,86,62,11.1709423065186
22-12-05_13-59,27,27,0.428277541750942,42.6666666666667,1,180,240,0.9,0.9,5,9,12,35,29.5051994165779,35.4652138507438,22.3372132240109,5.0480625,,88.8,194,0
21-08-12_05-38,98,98,0.162988370349375,80,1,,,,,,,,,82.13418693896,70.1143566364419,57.8466528946924,7.30708333333333,,4.1,357,0
21-08-12_07-02,252,252,0.104102167619691,80,1,,,,,,,,,0,70.2858402256825,57.9258659998033,0.102916666666667,,197.8,188,4.66219282150269
21-08-12_11-15,357,357,0.079873471656669,53.3333333333333,1,,,,,,,,,0,70.3644464261898,58.0455851760602,0.823333333333333,,265,80,4.88495635986328
21-08-12_18-25,101,101,0.0875940452819949,49.2307692307692,1,,,,,,,,,0,70.5203690124762,58.203981328032,1.64666666666667,,348.7,197,5.18695116043091
21-08-14_06-04,63,63,0.0546065261725634,49.2307692307692,1,,,,,,,,,0,74.6946809186969,69.1579731798587,1.54375,,76.2,120,6.53420305252075
21-08-14_09-00,8,8,0.0922130523368665,12.3076923076923,1,,,,,,,,,0,74.7151054967706,69.7163991948731,1.54375,,77.3,271,9.05401992797852
21-08-14_15-08,346,346,0.0804576312813983,53.3333333333333,1,,,,,,,,,0,74.8221509349003,71.9871965322628,0.102916666666667,,110.5,305,7.32584238052368
21-08-15_16-46,40,40,0.189601944728198,53.3333333333333,1,,,,,,,,,0,72.7883998058568,73.4734896072703,0.411666666666667,,54.35,262,6.62708759307861
21-08-16_17-54,262,262,0.13915269976729,53.3333333333333,1,,,,,,,,,0,73.6032453439937,75.303343822525,0.102916666666667,,165.8,262,6.92788887023926
