name,radar_an,radar_an2,radar_m0,radar_per,nobrak,vis_an,vis_an2,vis_swh1,vis_swh2,vis_per1,vis_per2,vis_len1,vis_len2,radar_an3,lat_radar,lon_radar,speed,sat_swh,hdg,dir_std,wind_speed
22-10-31_12-57,158,158,0.233666737340694,58.1818181818182,1,228,,1.1,,5.2,,17,,16.2173255036821,0.538134005215627,-14.6119194517599,3.73072916666667,1.662,353.4,217,8.54573822021484
22-10-31_16-57,139,139,0.158684899613109,inf,1,205,,1.3,,6,,20,,114.513733014741,0.541062894501355,-14.5086820105378,3.96486458333333,,100,345,10.452130317688
22-11-01_06-57,43,43,0.232043827307527,80,1,160,,1.5,,7.5,,33,,74.9416791814051,0.894661117652128,-13.7127712727054,3.84908333333333,1.651,160.7,148,8.22840976715088
22-11-01_10-56,139,139,0.320343826121147,inf,1,165,,1.5,,8,,33,,162.154628796794,0.86421855426081,-13.7041203445981,2.67583333333333,1.731,168.6,137,8.97602653503418
22-11-01_12-57,47,47,0.148104804519015,inf,1,165,,1.3,,7.8,,34,,84.3820210266418,0.670097216560032,-13.6673438682651,4.78819791666667,1.753,32.9,137,7.72998189926148
22-11-01_18-56,132,132,0.426759518367555,45.7142857142857,1,175,,1.7,,7,,25,,151.452938103273,0.927603276486246,-13.3726108138603,3.67669791666667,1.759,169.1,131,9.47882652282715
22-11-02_08-55,158,158,0.16235255743376,14.2222222222222,1,160,,1.4,,7.4,,28,,180,0.818819652202105,-13.2553366939723,0.128645833333333,,156.05,125,7.66973781585693
22-11-02_10-59,132,132,0.125718600544442,5.28925619834711,1,150,,1.6,,7.4,,29,,149.177302696291,0.747361552296196,-13.2174460403589,3.9674375,,151.3,142,8.33380889892578
22-11-02_12-59,137,137,0.157242547719339,inf,1,150,,1.6,,7,,31,,158.224251297845,0.514132497172604,-13.0935989804612,4.08579166666667,,150.7,137,8.51550579071045
22-11-02_16-58,148,148,0.182775313013931,640,1,165,,1.7,,7,,26,,143.126929132819,0.04823221988384,-12.8462838002077,4.20414583333333,,148.8,148,10.2091884613037
22-11-03_06-58,34,34,0.201226925146545,80,1,160,,0.9,,7.4,,29,,50.3845641693445,-0.850925301669655,-13.0809463324266,4.66727083333333,1.358,0.9,34,7.27206611633301
22-11-03_12-58,174,174,0.207746506552538,inf,1,180,,1.1,,6.8,,29,,151.150858554032,-0.761353440178192,-13.1378777103249,4.49745833333333,,199,154,6.85050106048584
22-11-04_12-57,177,177,0.429085846359894,128,1,182,145,1.2,0.85,8.4,7,41,27,66.9826391136943,-0.885306798206047,-13.4796853991492,2.55747916666667,,248.3,177,7.03201675415039
